City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,uturoa,-16.7333,-151.4333,25.71,81,44,10.48,PF,2023-11-01
335,keflavik,64.0049,-22.5624,1.24,64,0,3.6,IS,2023-11-01
336,touros,-5.1989,-35.4608,26.08,84,22,5.44,BR,2023-11-01
337,iskateley,67.6803,53.1512,-10.55,97,31,2.68,RU,2023-11-01
338,gorontalo,0.5412,123.0595,26.17,85,59,0.83,ID,2023-11-01
339,altay,47.8667,88.1167,0.74,98,100,1.3,CN,2023-11-01
340,sarina,-21.4333,149.2167,27.37,18,47,4.31,AU,2023-11-01
341,puruliya,23.3333,86.3667,21.14,72,21,2.02,IN,2023-11-01
342,nemuro,43.3236,145.575,12.16,76,100,8.39,JP,2023-11-01
343,boa esperanca,-21.09,-45.5658,23.83,72,100,2.24,BR,2023-11-01
344,san andres,12.5847,-81.7006,27.01,89,20,2.06,CO,2023-11-01
345,twon-brass,4.3151,6.2418,26.05,83,87,3.97,NG,2023-11-01
346,fada,9.5667,8.3,21.52,85,98,0.79,NG,2023-11-01
